date,Account,sentiment_category,daily_pnl,median_position_size,trade_count,win_rate,long_ratio,sentiment_value,estimated_volume,pnl_per_dollar,cluster,archetype,profit_binary,target_next_day_profit
2025-04-30,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,5179.772745,446.86,83,1.0,0.0,56.0,37089.380000000005,0.1396564931794492,2,The Gamblers,1,1.0
2025-05-01,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,1243.853569,494.78999999999996,250,0.324,0.676,53.0,123697.49999999999,0.010055607987226907,0,The Whales,1,
2024-07-15,0x271b280974205ca63b716753467d5a371de622ab,Neutral,-1.0,5760.81,5,0.0,0.4,52.0,28804.050000000003,-3.471734009627118e-05,0,The Whales,0,1.0
2024-11-29,0x271b280974205ca63b716753467d5a371de622ab,Greed,1584.342755,1584.35,1,1.0,0.0,78.0,1584.35,0.9999954271467795,2,The Gamblers,1,1.0
2024-12-05,0x271b280974205ca63b716753467d5a371de622ab,Greed,208.81746,38206.04,4,0.75,0.75,84.0,152824.16,0.0013663903665493728,2,The Gamblers,1,1.0
2025-04-09,0x271b280974205ca63b716753467d5a371de622ab,Fear,16706.884912,1059.52,797,0.37641154328732745,0.3450439146800502,18.0,844437.44,0.019784633083061786,2,The Gamblers,1,1.0
2025-04-10,0x271b280974205ca63b716753467d5a371de622ab,Fear,13264.043303999999,4999.54,339,0.5575221238938053,0.6814159292035398,39.0,1694844.06,0.007826114282159976,2,The Gamblers,1,1.0
2025-04-19,0x271b280974205ca63b716753467d5a371de622ab,Fear,5942.547242,1725.48,313,0.12779552715654952,0.12779552715654952,32.0,540075.24,0.011003184004510187,0,The Whales,1,1.0
2025-04-20,0x271b280974205ca63b716753467d5a371de622ab,Fear,8277.307357,637.63,863,0.49130938586326767,0.4843568945538818,37.0,550274.69,0.015042137149720625,2,The Gamblers,1,1.0
2025-04-21,0x271b280974205ca63b716753467d5a371de622ab,Fear,2638.012587,800.35,353,0.17280453257790368,0.17280453257790368,39.0,282523.55,0.009337319267721222,0,The Whales,1,0.0
2025-04-22,0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19037.340561,807.79,594,0.0,0.39225589225589225,47.0,479827.25999999995,-0.039675404354892224,0,The Whales,0,0.0
2025-04-23,0x271b280974205ca63b716753467d5a371de622ab,Greed,-108176.9187,1573.78,469,0.14072494669509594,0.5031982942430704,72.0,738102.82,-0.14656077143832075,0,The Whales,0,1.0
2025-04-24,0x271b280974205ca63b716753467d5a371de622ab,Greed,8157.112326,3957.51,70,0.9428571428571428,0.9571428571428572,63.0,277025.7,0.029445327007566448,2,The Gamblers,1,0.0
2025-04-25,0x271b280974205ca63b716753467d5a371de622ab,Greed,0.0,0.17,1,0.0,0.0,60.0,0.17,0.0,0,The Whales,0,
2024-11-16,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,159.100072,54.64,93,0.17204301075268819,0.5268817204301075,86.0,5081.52,0.03130954360112722,0,The Whales,1,1.0
2024-11-17,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,161.289904,54.74,95,0.35789473684210527,0.47368421052631576,90.0,5200.3,0.03101549987500721,0,The Whales,1,1.0
2024-11-18,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,147.410285,392.675,162,0.41358024691358025,0.4382716049382716,83.0,63613.35,0.0023172853654146496,2,The Gamblers,1,1.0
2024-11-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,233.36546,393.61,213,0.48826291079812206,0.539906103286385,90.0,83838.93000000001,0.002783497594733139,2,The Gamblers,1,0.0
2024-11-20,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,-316.245208,1191.2,407,0.3464373464373464,0.4619164619164619,83.0,484818.4,-0.0006522962164802325,2,The Gamblers,0,1.0
2024-11-21,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,780.001314,499.605,446,0.34977578475336324,0.5,82.0,222823.83000000002,0.0035005291579450902,2,The Gamblers,1,1.0
